gene	appris_tag	isoname
BIRC3	appris_principal__1	BIRC3-202
BIRC3	appris_principal__1	BIRC3-201
BIRC3	appris_principal__1	BIRC3-206
BIRC2	appris_principal__2	BIRC2-201
BIRC2	appris_principal__2	BIRC2-213
TMEM123	appris_principal__2	TMEM123-202
MMP7	appris_principal__1	MMP7-201
MMP20	appris_principal__1	MMP20-201
MMP27	appris_principal__1	MMP27-201
MMP8	appris_principal__1	MMP8-201
MMP10	appris_principal__1	MMP10-201
MMP1	appris_principal__1	MMP1-201
MMP3	appris_principal__1	MMP3-201
MMP12	appris_principal__1	MMP12-201
MMP13	appris_principal__1	MMP13-201
DCUN1D5	appris_principal__1	DCUN1D5-201
DYNC2H1	appris_principal__3	DYNC2H1-211
PDGFD	appris_principal__1	PDGFD-202
DDI1	appris_principal__1	DDI1-201
CASP12	appris_principal__1	CASP12-203
CASP4	appris_principal__1	CASP4-203
CASP5	appris_principal__3	CASP5-201
CASP1	appris_principal__1	CASP1-215
CASP1	appris_principal__1	CASP1-202
CARD16	appris_principal__1	CARD16-202
CARD17	appris_principal__1	CARD17-201
CARD18	appris_principal__1	CARD18-203
GRIA4	appris_principal__1	GRIA4-203
GRIA4	appris_principal__1	GRIA4-206
MSANTD4	appris_principal__1	MSANTD4-201
KBTBD3	appris_principal__1	KBTBD3-205
KBTBD3	appris_principal__1	KBTBD3-201
AASDHPPT	appris_principal__1	AASDHPPT-201
GUCY1A2	appris_principal__1	GUCY1A2-203
CWF19L2	appris_principal__1	CWF19L2-201
ALKBH8	appris_principal__3	ALKBH8-205
ALKBH8	appris_principal__3	ALKBH8-202
ELMOD1	appris_principal__4	ELMOD1-201
SLN	appris_principal__1	SLN-201
SLN	appris_principal__1	SLN-203
SLN	appris_principal__1	SLN-202
SLC35F2	appris_principal__1	SLC35F2-204
RAB39A	appris_principal__1	RAB39A-201
CUL5	appris_principal__1	CUL5-201
ACAT1	appris_principal__1	ACAT1-201
NPAT	appris_principal__1	NPAT-201
ATM	appris_principal__1	ATM-201
ATM	appris_principal__1	ATM-231
ATM	appris_principal__1	ATM-203
C11orf65	appris_principal__3	C11orf65-208
C11orf65	appris_principal__3	C11orf65-201
C11orf65	appris_principal__3	C11orf65-206
POGLUT3	appris_principal__1	POGLUT3-201
EXPH5	appris_principal__3	EXPH5-201
DDX10	appris_principal__2	DDX10-201
C11orf87	appris_principal__1	C11orf87-201
RDX	appris_principal__1	RDX-219
ZC3H12C	appris_principal__5	ZC3H12C-203
FDX1	appris_principal__1	FDX1-201
ARHGAP20	appris_principal__3	ARHGAP20-201
C11orf53	appris_principal__1	C11orf53-201
COLCA2	appris_principal__2	COLCA2-204
POU2AF1	appris_principal__1	POU2AF1-201
BTG4	appris_principal__2	BTG4-201
C11orf88	appris_principal__4	C11orf88-201
LAYN	appris_principal__3	LAYN-201
SIK2	appris_principal__1	SIK2-201
PPP2R1B	appris_principal__4	PPP2R1B-201
ALG9	appris_principal__1	ALG9-214
AP001781.2	appris_principal__1	AP001781.2-201
FDXACB1	appris_principal__1	FDXACB1-201
C11orf1	appris_principal__1	C11orf1-201
CRYAB	appris_principal__1	CRYAB-217
CRYAB	appris_principal__1	CRYAB-205
CRYAB	appris_principal__1	CRYAB-207
CRYAB	appris_principal__1	CRYAB-216
CRYAB	appris_principal__1	CRYAB-218
CRYAB	appris_principal__1	CRYAB-213
CRYAB	appris_principal__1	CRYAB-214
CRYAB	appris_principal__1	CRYAB-206
CRYAB	appris_principal__1	CRYAB-201
CRYAB	appris_principal__1	CRYAB-211
HSPB2	appris_principal__1	HSPB2-201
HSPB2-C11orf52	appris_principal__2	HSPB2-C11orf52-201
C11orf52	appris_principal__1	C11orf52-201
DIXDC1	appris_principal__1	DIXDC1-201
DLAT	appris_principal__1	DLAT-201
PIH1D2	appris_principal__1	PIH1D2-208
PIH1D2	appris_principal__1	PIH1D2-201
NKAPD1	appris_principal__1	NKAPD1-202
TIMM8B	appris_principal__2	TIMM8B-204
SDHD	appris_principal__1	SDHD-201
AP002884.2	appris_principal__1	AP002884.2-201
AP002884.2	appris_principal__1	AP002884.2-202
IL18	appris_principal__1	IL18-201
IL18	appris_principal__1	IL18-204
TEX12	appris_principal__1	TEX12-202
TEX12	appris_principal__1	TEX12-201
BCO2	appris_principal__3	BCO2-201
PTS	appris_principal__1	PTS-201
PLET1	appris_principal__1	PLET1-201
NCAM1	appris_principal__4	NCAM1-201
TTC12	appris_principal__3	TTC12-219
ANKK1	appris_principal__1	ANKK1-201
DRD2	appris_principal__4	DRD2-202
DRD2	appris_principal__4	DRD2-208
TMPRSS5	appris_principal__3	TMPRSS5-201
ZW10	appris_principal__1	ZW10-201
CLDN25	appris_principal__1	CLDN25-201
USP28	appris_principal__1	USP28-201
HTR3B	appris_principal__3	HTR3B-201
HTR3A	appris_principal__3	HTR3A-203
ZBTB16	appris_principal__1	ZBTB16-201
ZBTB16	appris_principal__1	ZBTB16-202
NNMT	appris_principal__1	NNMT-203
NNMT	appris_principal__1	NNMT-201
C11orf71	appris_principal__3	C11orf71-201
RBM7	appris_principal__3	RBM7-203
AP002373.1	appris_principal__1	AP002373.1-201
REXO2	appris_principal__1	REXO2-201
NXPE1	appris_principal__5	NXPE1-203
NXPE1	appris_principal__5	NXPE1-202
NXPE4	appris_principal__1	NXPE4-201
NXPE2	appris_principal__1	NXPE2-201
CADM1	appris_principal__4	CADM1-201
BUD13	appris_principal__3	BUD13-201
ZPR1	appris_principal__1	ZPR1-201
APOA5	appris_principal__2	APOA5-201
APOA5	appris_principal__2	APOA5-203
APOA5	appris_principal__2	APOA5-202
APOA4	appris_principal__1	APOA4-201
APOC3	appris_principal__1	APOC3-201
APOA1	appris_principal__1	APOA1-203
APOA1	appris_principal__1	APOA1-202
APOA1	appris_principal__1	APOA1-204
APOA1	appris_principal__1	APOA1-201
SIK3	appris_principal__1	SIK3-201
PAFAH1B2	appris_principal__1	PAFAH1B2-204
SIDT2	appris_principal__1	SIDT2-202
SIDT2	appris_principal__1	SIDT2-219
TAGLN	appris_principal__1	TAGLN-202
TAGLN	appris_principal__1	TAGLN-203
TAGLN	appris_principal__1	TAGLN-201
TAGLN	appris_principal__1	TAGLN-206
TAGLN	appris_principal__1	TAGLN-207
PCSK7	appris_principal__1	PCSK7-201
PCSK7	appris_principal__1	PCSK7-202
PCSK7	appris_principal__1	PCSK7-216
RNF214	appris_principal__3	RNF214-201
RNF214	appris_principal__3	RNF214-206
BACE1	appris_principal__1	BACE1-201
CEP164	appris_principal__1	CEP164-201
DSCAML1	appris_principal__1	DSCAML1-201
DSCAML1	appris_principal__1	DSCAML1-204
FXYD2	appris_principal__4	FXYD2-202
FXYD6-FXYD2	appris_principal__1	FXYD6-FXYD2-202
FXYD6	appris_principal__1	FXYD6-211
FXYD6	appris_principal__1	FXYD6-201
FXYD6	appris_principal__1	FXYD6-204
FXYD6	appris_principal__1	FXYD6-207
FXYD6	appris_principal__1	FXYD6-202
FXYD6	appris_principal__1	FXYD6-209
TMPRSS13	appris_principal__3	TMPRSS13-203
IL10RA	appris_principal__1	IL10RA-201
SMIM35	appris_principal__1	SMIM35-204
TMPRSS4	appris_principal__3	TMPRSS4-201
SCN4B	appris_principal__1	SCN4B-201
SCN2B	appris_principal__1	SCN2B-201
JAML	appris_principal__3	JAML-201
MPZL3	appris_principal__1	MPZL3-201
MPZL2	appris_principal__1	MPZL2-201
MPZL2	appris_principal__1	MPZL2-202
CD3E	appris_principal__2	CD3E-201
CD3D	appris_principal__1	CD3D-201
CD3G	appris_principal__1	CD3G-206
UBE4A	appris_principal__1	UBE4A-201
AP001267.5	appris_principal__1	AP001267.5-202
ATP5MG	appris_principal__1	ATP5MG-201
KMT2A	appris_principal__3	KMT2A-201
TTC36	appris_principal__1	TTC36-201
TMEM25	appris_principal__1	TMEM25-201
IFT46	appris_principal__3	IFT46-201
ARCN1	appris_principal__1	ARCN1-201
PHLDB1	appris_principal__1	PHLDB1-201
TREH	appris_principal__1	TREH-201
DDX6	appris_principal__1	DDX6-206
DDX6	appris_principal__1	DDX6-208
DDX6	appris_principal__1	DDX6-202
CXCR5	appris_principal__1	CXCR5-201
BCL9L	appris_principal__2	BCL9L-201
UPK2	appris_principal__1	UPK2-201
FOXR1	appris_principal__1	FOXR1-201
CCDC84	appris_principal__1	CCDC84-201
RPS25	appris_principal__1	RPS25-202
TRAPPC4	appris_principal__1	TRAPPC4-214
SLC37A4	appris_principal__1	SLC37A4-217
SLC37A4	appris_principal__1	SLC37A4-201
HYOU1	appris_principal__2	HYOU1-220
VPS11	appris_principal__1	VPS11-208
HMBS	appris_principal__1	HMBS-232
H2AX	appris_principal__1	H2AX-202
DPAGT1	appris_principal__1	DPAGT1-203
DPAGT1	appris_principal__1	DPAGT1-201
C2CD2L	appris_principal__2	C2CD2L-201
HINFP	appris_principal__3	HINFP-201
ABCG4	appris_principal__1	ABCG4-205
ABCG4	appris_principal__1	ABCG4-204
ABCG4	appris_principal__1	ABCG4-206
NLRX1	appris_principal__1	NLRX1-203
NLRX1	appris_principal__1	NLRX1-202
NLRX1	appris_principal__1	NLRX1-204
NLRX1	appris_principal__1	NLRX1-201
PDZD3	appris_principal__2	PDZD3-202
CCDC153	appris_principal__1	CCDC153-204
CCDC153	appris_principal__1	CCDC153-202
CBL	appris_principal__2	CBL-201
MCAM	appris_principal__1	MCAM-201
RNF26	appris_principal__1	RNF26-201
C1QTNF5	appris_principal__1	C1QTNF5-202
C1QTNF5	appris_principal__1	C1QTNF5-203
MFRP	appris_principal__1	MFRP-205
USP2	appris_principal__4	USP2-201
THY1	appris_principal__1	THY1-201
THY1	appris_principal__1	THY1-206
NECTIN1	appris_principal__1	NECTIN1-201
TRIM29	appris_principal__1	TRIM29-201
OAF	appris_principal__1	OAF-201
POU2F3	appris_principal__3	POU2F3-206
TLCD5	appris_principal__1	TLCD5-202
ARHGEF12	appris_principal__1	ARHGEF12-202
GRIK4	appris_principal__1	GRIK4-208
GRIK4	appris_principal__1	GRIK4-205
GRIK4	appris_principal__1	GRIK4-202
TBCEL	appris_principal__1	TBCEL-205
TBCEL	appris_principal__1	TBCEL-202
TBCEL-TECTA	appris_principal__1	TBCEL-TECTA-202
TECTA	appris_principal__1	TECTA-202
TECTA	appris_principal__1	TECTA-201
SC5D	appris_principal__1	SC5D-201
SC5D	appris_principal__1	SC5D-202
SORL1	appris_principal__1	SORL1-201
BLID	appris_principal__1	BLID-201
UBASH3B	appris_principal__1	UBASH3B-201
CRTAM	appris_principal__1	CRTAM-201
JHY	appris_principal__1	JHY-201
JHY	appris_principal__1	JHY-203
BSX	appris_principal__1	BSX-201
HSPA8	appris_principal__1	HSPA8-218
HSPA8	appris_principal__1	HSPA8-224
HSPA8	appris_principal__1	HSPA8-201
CLMP	appris_principal__1	CLMP-201
GRAMD1B	appris_principal__1	GRAMD1B-214
SCN3B	appris_principal__1	SCN3B-202
SCN3B	appris_principal__1	SCN3B-201
SCN3B	appris_principal__1	SCN3B-207
SCN3B	appris_principal__1	SCN3B-206
SCN3B	appris_principal__1	SCN3B-204
ZNF202	appris_principal__1	ZNF202-207
ZNF202	appris_principal__1	ZNF202-201
ZNF202	appris_principal__1	ZNF202-206
OR6X1	appris_principal__1	OR6X1-201
OR6M1	appris_principal__1	OR6M1-201
TMEM225	appris_principal__1	TMEM225-201
OR8D4	appris_principal__1	OR8D4-202
OR8D4	appris_principal__1	OR8D4-201
OR4D5	appris_principal__1	OR4D5-201
OR6T1	appris_principal__1	OR6T1-201
OR10S1	appris_principal__2	OR10S1-201
OR10G6	appris_principal__1	OR10G6-201
OR10G4	appris_principal__1	OR10G4-203
OR10G4	appris_principal__1	OR10G4-202
OR10G4	appris_principal__1	OR10G4-201
OR10G9	appris_principal__1	OR10G9-201
OR10G8	appris_principal__1	OR10G8-202
OR10G8	appris_principal__1	OR10G8-201
OR10G7	appris_principal__1	OR10G7-202
OR10G7	appris_principal__1	OR10G7-201
VWA5A	appris_principal__1	VWA5A-203
VWA5A	appris_principal__1	VWA5A-205
OR10D3	appris_principal__1	OR10D3-202
OR10D3	appris_principal__1	OR10D3-203
OR10D3	appris_principal__1	OR10D3-201
OR8G3P	appris_principal__1	OR8G3P-201
OR8G3P	appris_principal__1	OR8G3P-202
OR8G2P	appris_principal__1	OR8G2P-201
OR8G1	appris_principal__1	OR8G1-202
OR8G1	appris_principal__1	OR8G1-201
OR8G5	appris_principal__1	OR8G5-202
OR8G5	appris_principal__1	OR8G5-201
OR8D1	appris_principal__1	OR8D1-202
OR8D1	appris_principal__1	OR8D1-203
OR8D1	appris_principal__1	OR8D1-201
OR8D2	appris_principal__1	OR8D2-201
OR8B2	appris_principal__1	OR8B2-202
OR8B2	appris_principal__1	OR8B2-201
OR8B3	appris_principal__1	OR8B3-202
OR8B3	appris_principal__1	OR8B3-201
OR8B4	appris_principal__1	OR8B4-201
OR8B8	appris_principal__1	OR8B8-202
OR8B8	appris_principal__1	OR8B8-201
OR8B12	appris_principal__1	OR8B12-201
OR8A1	appris_principal__1	OR8A1-203
OR8A1	appris_principal__1	OR8A1-201
PANX3	appris_principal__1	PANX3-201
TBRG1	appris_principal__1	TBRG1-203
SIAE	appris_principal__3	SIAE-201
SPA17	appris_principal__1	SPA17-204
SPA17	appris_principal__1	SPA17-201
NRGN	appris_principal__1	NRGN-201
NRGN	appris_principal__1	NRGN-202
VSIG2	appris_principal__1	VSIG2-201
ESAM	appris_principal__1	ESAM-201
MSANTD2	appris_principal__1	MSANTD2-202
ROBO3	appris_principal__2	ROBO3-201
ROBO4	appris_principal__1	ROBO4-201
HEPACAM	appris_principal__1	HEPACAM-201
HEPN1	appris_principal__1	HEPN1-201
CCDC15	appris_principal__2	CCDC15-201
SLC37A2	appris_principal__3	SLC37A2-201
TMEM218	appris_principal__1	TMEM218-213
TMEM218	appris_principal__1	TMEM218-215
TMEM218	appris_principal__1	TMEM218-201
TMEM218	appris_principal__1	TMEM218-203
TMEM218	appris_principal__1	TMEM218-206
TMEM218	appris_principal__1	TMEM218-209
TMEM218	appris_principal__1	TMEM218-205
PKNOX2	appris_principal__1	PKNOX2-201
FEZ1	appris_principal__1	FEZ1-201
FEZ1	appris_principal__1	FEZ1-217
EI24	appris_principal__1	EI24-214
EI24	appris_principal__1	EI24-201
STT3A	appris_principal__1	STT3A-211
STT3A	appris_principal__1	STT3A-201
STT3A	appris_principal__1	STT3A-217
CHEK1	appris_principal__1	CHEK1-203
CHEK1	appris_principal__1	CHEK1-204
CHEK1	appris_principal__1	CHEK1-211
CHEK1	appris_principal__1	CHEK1-213
ACRV1	appris_principal__4	ACRV1-204
PATE1	appris_principal__2	PATE1-201
PATE2	appris_principal__2	PATE2-201
PATE3	appris_principal__1	PATE3-201
PATE4	appris_principal__2	PATE4-201
HYLS1	appris_principal__1	HYLS1-201
HYLS1	appris_principal__1	HYLS1-202
HYLS1	appris_principal__1	HYLS1-203
PUS3	appris_principal__1	PUS3-203
PUS3	appris_principal__1	PUS3-201
DDX25	appris_principal__1	DDX25-201
VSIG10L2	appris_principal__1	VSIG10L2-202
CDON	appris_principal__3	CDON-201
RPUSD4	appris_principal__1	RPUSD4-201
FAM118B	appris_principal__3	FAM118B-209
SRPRA	appris_principal__1	SRPRA-201
FOXRED1	appris_principal__2	FOXRED1-201
TIRAP	appris_principal__3	TIRAP-202
TIRAP	appris_principal__3	TIRAP-203
DCPS	appris_principal__1	DCPS-201
ST3GAL4	appris_principal__3	ST3GAL4-201
ST3GAL4	appris_principal__3	ST3GAL4-213
KIRREL3	appris_principal__3	KIRREL3-201
ETS1	appris_principal__3	ETS1-201
FLI1	appris_principal__3	FLI1-205
KCNJ1	appris_principal__4	KCNJ1-203
KCNJ5	appris_principal__1	KCNJ5-202
KCNJ5	appris_principal__1	KCNJ5-201
KCNJ5	appris_principal__1	KCNJ5-203
C11orf45	appris_principal__1	C11orf45-201
C11orf45	appris_principal__1	C11orf45-202
TP53AIP1	appris_principal__3	TP53AIP1-205
ARHGAP32	appris_principal__2	ARHGAP32-201
BARX2	appris_principal__1	BARX2-201
TMEM45B	appris_principal__1	TMEM45B-201
TMEM45B	appris_principal__1	TMEM45B-202
NFRKB	appris_principal__1	NFRKB-201
NFRKB	appris_principal__1	NFRKB-202
PRDM10	appris_principal__4	PRDM10-203
APLP2	appris_principal__3	APLP2-226
APLP2	appris_principal__3	APLP2-201
ST14	appris_principal__1	ST14-201
ZBTB44	appris_principal__1	ZBTB44-206
ADAMTS8	appris_principal__1	ADAMTS8-201
ADAMTS15	appris_principal__1	ADAMTS15-201
SNX19	appris_principal__1	SNX19-201
NTM	appris_principal__1	NTM-205
OPCML	appris_principal__2	OPCML-201
SPATA19	appris_principal__1	SPATA19-201
SPATA19	appris_principal__1	SPATA19-202
IGSF9B	appris_principal__1	IGSF9B-206
JAM3	appris_principal__1	JAM3-201
NCAPD3	appris_principal__1	NCAPD3-214
VPS26B	appris_principal__1	VPS26B-201
VPS26B	appris_principal__1	VPS26B-202
THYN1	appris_principal__1	THYN1-204
THYN1	appris_principal__1	THYN1-203
THYN1	appris_principal__1	THYN1-201
ACAD8	appris_principal__1	ACAD8-201
GLB1L3	appris_principal__1	GLB1L3-203
GLB1L2	appris_principal__1	GLB1L2-201
GLB1L2	appris_principal__1	GLB1L2-205
B3GAT1	appris_principal__1	B3GAT1-202
B3GAT1	appris_principal__1	B3GAT1-201
B3GAT1	appris_principal__1	B3GAT1-203
IQSEC3	appris_principal__3	IQSEC3-201
SLC6A12	appris_principal__1	SLC6A12-202
SLC6A12	appris_principal__1	SLC6A12-201
SLC6A12	appris_principal__1	SLC6A12-203
SLC6A12	appris_principal__1	SLC6A12-207
SLC6A13	appris_principal__1	SLC6A13-201
KDM5A	appris_principal__1	KDM5A-201
CCDC77	appris_principal__3	CCDC77-201
B4GALNT3	appris_principal__1	B4GALNT3-201
NINJ2	appris_principal__3	NINJ2-206
WNK1	appris_principal__3	WNK1-201
RAD52	appris_principal__3	RAD52-202
RAD52	appris_principal__3	RAD52-204
ERC1	appris_principal__1	ERC1-213
ERC1	appris_principal__1	ERC1-204
WNT5B	appris_principal__1	WNT5B-203
WNT5B	appris_principal__1	WNT5B-201
WNT5B	appris_principal__1	WNT5B-202
FBXL14	appris_principal__1	FBXL14-201
ADIPOR2	appris_principal__1	ADIPOR2-201
CACNA2D4	appris_principal__2	CACNA2D4-202
LRTM2	appris_principal__1	LRTM2-208
LRTM2	appris_principal__1	LRTM2-201
LRTM2	appris_principal__1	LRTM2-202
DCP1B	appris_principal__1	DCP1B-201
CACNA1C	appris_principal__1	CACNA1C-204
FKBP4	appris_principal__1	FKBP4-201
ITFG2	appris_principal__1	ITFG2-201
NRIP2	appris_principal__1	NRIP2-201
TEX52	appris_principal__1	TEX52-201
FOXM1	appris_principal__4	FOXM1-201
RHNO1	appris_principal__1	RHNO1-209
RHNO1	appris_principal__1	RHNO1-204
TULP3	appris_principal__3	TULP3-202
TEAD4	appris_principal__1	TEAD4-202
TSPAN9	appris_principal__1	TSPAN9-206
TSPAN9	appris_principal__1	TSPAN9-201
PRMT8	appris_principal__1	PRMT8-202
CRACR2A	appris_principal__1	CRACR2A-203
PARP11	appris_principal__1	PARP11-201
CCND2	appris_principal__1	CCND2-208
CCND2	appris_principal__1	CCND2-207
CCND2	appris_principal__1	CCND2-201
AC008012.1	appris_principal__5	AC008012.1-201
TIGAR	appris_principal__1	TIGAR-201
FGF23	appris_principal__1	FGF23-201
FGF6	appris_principal__1	FGF6-201
C12orf4	appris_principal__1	C12orf4-201
C12orf4	appris_principal__1	C12orf4-209
RAD51AP1	appris_principal__3	RAD51AP1-202
DYRK4	appris_principal__2	DYRK4-211
DYRK4	appris_principal__2	DYRK4-201
AC005832.4	appris_principal__1	AC005832.4-201
AKAP3	appris_principal__1	AKAP3-206
AKAP3	appris_principal__1	AKAP3-201
NDUFA9	appris_principal__1	NDUFA9-201
AC005833.1	appris_principal__1	AC005833.1-201
GALNT8	appris_principal__1	GALNT8-201
KCNA6	appris_principal__1	KCNA6-201
KCNA1	appris_principal__1	KCNA1-201
KCNA5	appris_principal__1	KCNA5-201
NTF3	appris_principal__3	NTF3-201
ANO2	appris_principal__2	ANO2-202
VWF	appris_principal__1	VWF-201
CD9	appris_principal__1	CD9-203
CD9	appris_principal__1	CD9-208
CD9	appris_principal__1	CD9-201
PLEKHG6	appris_principal__3	PLEKHG6-201
PLEKHG6	appris_principal__3	PLEKHG6-203
TNFRSF1A	appris_principal__1	TNFRSF1A-201
SCNN1A	appris_principal__3	SCNN1A-201
LTBR	appris_principal__3	LTBR-201
CD27	appris_principal__1	CD27-201
TAPBPL	appris_principal__1	TAPBPL-201
VAMP1	appris_principal__1	VAMP1-202
MRPL51	appris_principal__1	MRPL51-201
NCAPD2	appris_principal__1	NCAPD2-201
GAPDH	appris_principal__1	GAPDH-201
GAPDH	appris_principal__1	GAPDH-205
GAPDH	appris_principal__1	GAPDH-204
IFFO1	appris_principal__3	IFFO1-201
NOP2	appris_principal__3	NOP2-203
NOP2	appris_principal__3	NOP2-212
AC006064.6	appris_principal__5	AC006064.6-201
CHD4	appris_principal__3	CHD4-206
LPAR5	appris_principal__1	LPAR5-202
LPAR5	appris_principal__1	LPAR5-201
ACRBP	appris_principal__2	ACRBP-201
ING4	appris_principal__3	ING4-201
ZNF384	appris_principal__1	ZNF384-204
ZNF384	appris_principal__1	ZNF384-203
PIANP	appris_principal__3	PIANP-204
PIANP	appris_principal__3	PIANP-201
COPS7A	appris_principal__1	COPS7A-215
COPS7A	appris_principal__1	COPS7A-201
COPS7A	appris_principal__1	COPS7A-210
COPS7A	appris_principal__1	COPS7A-204
COPS7A	appris_principal__1	COPS7A-203
MLF2	appris_principal__1	MLF2-201
MLF2	appris_principal__1	MLF2-202
MLF2	appris_principal__1	MLF2-210
MLF2	appris_principal__1	MLF2-206
PTMS	appris_principal__1	PTMS-201
LAG3	appris_principal__2	LAG3-201
CD4	appris_principal__1	CD4-201
GPR162	appris_principal__1	GPR162-201
P3H3	appris_principal__1	P3H3-201
GNB3	appris_principal__1	GNB3-201
CDCA3	appris_principal__1	CDCA3-207
CDCA3	appris_principal__1	CDCA3-204
USP5	appris_principal__3	USP5-202
TPI1	appris_principal__1	TPI1-202
SPSB2	appris_principal__1	SPSB2-204
SPSB2	appris_principal__1	SPSB2-205
LRRC23	appris_principal__4	LRRC23-201
LRRC23	appris_principal__4	LRRC23-209
ENO2	appris_principal__1	ENO2-211
ENO2	appris_principal__1	ENO2-201
ENO2	appris_principal__1	ENO2-205
ATN1	appris_principal__1	ATN1-201
ATN1	appris_principal__1	ATN1-202
C12orf57	appris_principal__1	C12orf57-201
PTPN6	appris_principal__3	PTPN6-202
PHB2	appris_principal__2	PHB2-203
EMG1	appris_principal__1	EMG1-203
LPCAT3	appris_principal__1	LPCAT3-201
C1S	appris_principal__1	C1S-205
C1S	appris_principal__1	C1S-201
C1S	appris_principal__1	C1S-202
C1R	appris_principal__1	C1R-214
C1RL	appris_principal__1	C1RL-201
RBP5	appris_principal__1	RBP5-201
CLSTN3	appris_principal__1	CLSTN3-201
PEX5	appris_principal__4	PEX5-207
PEX5	appris_principal__4	PEX5-221
PEX5	appris_principal__4	PEX5-205
ACSM4	appris_principal__1	ACSM4-201
CD163L1	appris_principal__3	CD163L1-201
CD163	appris_principal__3	CD163-201
APOBEC1	appris_principal__1	APOBEC1-201
GDF3	appris_principal__1	GDF3-201
DPPA3	appris_principal__1	DPPA3-201
CLEC4C	appris_principal__4	CLEC4C-205
CLEC4C	appris_principal__4	CLEC4C-202
NANOGNB	appris_principal__2	NANOGNB-201
NANOG	appris_principal__3	NANOG-201
SLC2A14	appris_principal__3	SLC2A14-221
SLC2A14	appris_principal__3	SLC2A14-218
SLC2A14	appris_principal__3	SLC2A14-202
SLC2A3	appris_principal__1	SLC2A3-201
FOXJ2	appris_principal__2	FOXJ2-201
C3AR1	appris_principal__1	C3AR1-201
NECAP1	appris_principal__2	NECAP1-221
NECAP1	appris_principal__2	NECAP1-201
CLEC4A	appris_principal__4	CLEC4A-201
AC092111.3	appris_principal__1	AC092111.3-201
ZNF705A	appris_principal__1	ZNF705A-204
ZNF705A	appris_principal__1	ZNF705A-201
FAM90A1	appris_principal__1	FAM90A1-201
FAM90A1	appris_principal__1	FAM90A1-203
CLEC6A	appris_principal__1	CLEC6A-201
CLEC4D	appris_principal__1	CLEC4D-201
CLEC4E	appris_principal__1	CLEC4E-201
AICDA	appris_principal__2	AICDA-201
MFAP5	appris_principal__1	MFAP5-201
RIMKLB	appris_principal__1	RIMKLB-202
RIMKLB	appris_principal__1	RIMKLB-205
RIMKLB	appris_principal__1	RIMKLB-207
A2ML1	appris_principal__1	A2ML1-201
PHC1	appris_principal__2	PHC1-214
PHC1	appris_principal__2	PHC1-212
M6PR	appris_principal__1	M6PR-201
KLRG1	appris_principal__3	KLRG1-202
A2M	appris_principal__1	A2M-201
PZP	appris_principal__1	PZP-201
KLRB1	appris_principal__1	KLRB1-201
CLEC2D	appris_principal__3	CLEC2D-203
CLECL1	appris_principal__3	CLECL1-201
CD69	appris_principal__1	CD69-201
KLRF1	appris_principal__3	KLRF1-208
CLEC2B	appris_principal__1	CLEC2B-201
KLRF2	appris_principal__1	KLRF2-201
CLEC2A	appris_principal__1	CLEC2A-202
CLEC12A	appris_principal__4	CLEC12A-201
CLEC1B	appris_principal__4	CLEC1B-201
CLEC12B	appris_principal__1	CLEC12B-201
CLEC9A	appris_principal__1	CLEC9A-201
CLEC1A	appris_principal__3	CLEC1A-201
CLEC7A	appris_principal__4	CLEC7A-205
OLR1	appris_principal__1	OLR1-201
TMEM52B	appris_principal__3	TMEM52B-201
GABARAPL1	appris_principal__1	GABARAPL1-201
GABARAPL1	appris_principal__1	GABARAPL1-217
KLRD1	appris_principal__4	KLRD1-204
KLRD1	appris_principal__4	KLRD1-201
KLRK1	appris_principal__1	KLRK1-201
KLRK1	appris_principal__1	KLRK1-204
KLRC4-KLRK1	appris_principal__5	KLRC4-KLRK1-201
KLRC4-KLRK1	appris_principal__5	KLRC4-KLRK1-207
KLRC4	appris_principal__1	KLRC4-201
AC068775.1	appris_principal__1	AC068775.1-201
KLRC3	appris_principal__3	KLRC3-201
KLRC2	appris_principal__2	KLRC2-202
KLRC1	appris_principal__4	KLRC1-202
KLRC1	appris_principal__4	KLRC1-207
EIF2S3B	appris_principal__1	EIF2S3B-202
MAGOHB	appris_principal__1	MAGOHB-201
STYK1	appris_principal__1	STYK1-201
YBX3	appris_principal__3	YBX3-201
TAS2R7	appris_principal__1	TAS2R7-201
TAS2R8	appris_principal__1	TAS2R8-201
TAS2R9	appris_principal__1	TAS2R9-201
PRH1	appris_principal__1	PRH1-208
TAS2R10	appris_principal__1	TAS2R10-201
PRR4	appris_principal__1	PRR4-201
AC018630.2	appris_principal__5	AC018630.2-201
TAS2R13	appris_principal__1	TAS2R13-201
PRH2	appris_principal__1	PRH2-201
PRH2	appris_principal__1	PRH2-202
TAS2R14	appris_principal__1	TAS2R14-202
TAS2R50	appris_principal__1	TAS2R50-201
TAS2R20	appris_principal__1	TAS2R20-201
TAS2R19	appris_principal__1	TAS2R19-201
TAS2R31	appris_principal__1	TAS2R31-201
TAS2R46	appris_principal__1	TAS2R46-201
TAS2R43	appris_principal__1	TAS2R43-201
TAS2R30	appris_principal__1	TAS2R30-201
SMIM10L1	appris_principal__1	SMIM10L1-201
TAS2R42	appris_principal__1	TAS2R42-201
PRB3	appris_principal__5	PRB3-202
PRB4	appris_principal__1	PRB4-201
PRB1	appris_principal__1	PRB1-204
PRB2	appris_principal__1	PRB2-201
ETV6	appris_principal__1	ETV6-202
BCL2L14	appris_principal__2	BCL2L14-213
